BatchID,SKU,Phase,Cycle,TS,Rate1,Rate2,Rate3,Rate4,AvgSyrup,AvgPause,AvgDrying,AvgSpeed1,AvgSpeed2,AvgSurupDF,AvgPauseDF,AvgDryingDF,AvgSpeed1DF,AvgSpeed2DF,ActionResult,driam,method_class
03-2024-04-29 18:36,Rb-ESM,11,2,2024-04-30 01:51:34,0.35,0.64,0.01,0.0,1.027538989487532,1.0048638311125073,1.072563099460928,1.0220059617745048,1.0138611256731365,0.9975321441775427,1.0048638311125073,0.9918728987766643,1.0220059617745048,1.0138611256731365,Good,3,P11+
03-2024-04-29 18:36,Rb-ESM,12,1,2024-04-30 01:51:34,0.35,0.635,0.015,0.0,1.1354324999050025,0.9676284209423912,1.2359707567022573,1.0003761014399313,0.9730227810322483,1.0065975761446273,0.9676284209423912,1.04379854412171,1.0003761014399313,0.9730227810322483,Good,3,P11+
03-2024-04-29 18:36,Rb-ESM,13,1,2024-04-30 01:51:34,0.35,0.63,0.02,0.0,0.885628248451561,0.830227976762592,0.8526570423401372,1.002803738317757,0.9815916171056357,0.9884937060314539,0.830227976762592,1.0014143439910148,1.002803738317757,0.9815916171056357,Good,3,P11+
03-2024-05-13 17:38,Rb-EXBB,8,4,2024-05-14 02:38:33,0.0058823529411764705,0.888235294117647,0.10588235294117647,0.0,1.0005468895676595,1.0520297947362758,0.9686720675367767,0.947918953987424,0.9465582060751239,1.0212096045334402,0.7648356308696073,0.9894557073913786,0.947918953987424,0.9465582060751239,Bad,3,P8
03-2024-05-13 17:38,Rb-EXBB,9,3,2024-05-14 02:38:33,0.12222222222222222,0.7888888888888889,0.08888888888888889,0.0,0.7939463807116746,0.5185263769872762,0.9939276508993138,0.9924115826185412,0.993642667570382,0.7939463807116746,0.5185263769872762,0.9939276508993138,0.9924115826185412,0.993642667570382,Good,3,other
03-2024-05-13 17:38,Rb-EXBB,10,3,2024-05-14 02:38:33,0.011494252873563218,0.9540229885057471,0.034482758620689655,0.0,1.009691701238068,0.9493382266055702,0.8792361867551611,1.0098029989334338,1.0117557563209738,1.0353766967010916,1.018359518150874,1.0009932513354765,1.0098029989334338,1.0117557563209738,Good,3,P10A
03-2024-05-13 17:38,Rb-EXBB,10,4,2024-05-14 02:38:33,0.03529411764705882,0.9529411764705882,0.011764705882352941,0.0,1.0103001575435002,0.8959570408449143,0.9855093384232414,1.008995008006028,1.0089243665818968,1.0287463734664493,0.9608450612780335,1.0014058712651557,1.008995008006028,1.0089243665818968,Good,3,P10A
03-2024-05-13 17:38,Rb-EXBB,10,5,2024-05-14 02:38:33,0.05263157894736842,0.9473684210526315,0.0,0.0,1.0089754343021444,0.8616580788039131,1.1071138886006375,1.007028964996698,0.9996273233503854,1.0415393140794207,0.9785299833426073,0.9995440536808764,0.9991107366844519,0.9917672938491748,Good,3,P10B
03-2024-05-13 17:38,Rb-EXBB,10,6,2024-05-14 02:38:33,0.6610169491525424,0.3389830508474576,0.0,0.0,0.9848225858478724,0.8271092978602615,1.174079777031772,1.0023653566229986,0.9840663339571637,1.05810358726644,0.9442581993974856,0.9798034659914843,0.997387750879371,0.9791795985930065,Good,3,P10B
03-2024-05-13 17:38,Rb-EXBB,11,1,2024-05-14 02:38:33,0.06666666666666667,0.9333333333333333,0.0,0.0,1.0828023238825832,0.9784387017957703,1.0806579239590959,1.0164473684210527,1.0211242392120334,1.0244948749187384,1.0058112281590197,1.0261015429037563,1.015901771336554,1.0205761317299014,Good,3,P11+
03-2024-05-13 17:38,Rb-EXBB,11,2,2024-05-14 02:38:33,0.45,0.55,0.0,0.0,1.027538989487532,1.0048638311125073,1.072563099460928,1.0220059617745048,1.0138611256731365,0.9975321441775427,1.0048638311125073,0.9918728987766643,1.0220059617745048,1.0138611256731365,Good,3,P11+
03-2024-05-13 17:38,Rb-EXBB,12,1,2024-05-14 02:38:33,1.0,0.0,0.0,0.0,1.1354324999050025,0.9676284209423912,1.2359707567022573,1.0003761014399313,0.9730227810322483,1.0065975761446273,0.9676284209423912,1.04379854412171,1.0003761014399313,0.9730227810322483,Good,3,P11+
03-2024-05-13 17:38,Rb-EXBB,13,1,2024-05-14 02:38:33,0.9696969696969697,0.021645021645021644,0.008658008658008658,0.0,0.885628248451561,0.830227976762592,0.8526570423401372,1.002803738317757,0.9815916171056357,0.9884937060314539,0.830227976762592,1.0014143439910148,1.002803738317757,0.9815916171056357,Good,3,P11+
