IOTDeviceID,SiteId,LineId,SensorId,MachineId,Tag,Value,TS,uuid,TS2
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rGumEntranceTemperature,41.0,2024-08-21 09:49:00,635e0211-7c9c-46e0-a790-c17107cdc809,2024-08-21 09:49:00.466 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rGumEntranceTemperature,41.1,2024-08-21 09:49:15,320e5af0-d2fe-4ef4-ba52-edbc264c44c7,2024-08-21 09:49:15.503 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rGumEntranceTemperature,41.1,2024-08-21 09:49:30,a5a3981a-dbbc-45a0-a548-241e86dce67f,2024-08-21 09:49:30.531 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rGumEntranceTemperature,41.0,2024-08-21 09:49:45,0c388bf2-35bb-40f5-b034-3b65880d0e1a,2024-08-21 09:49:45.478 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rGumEntranceTemperature,41.1,2024-08-21 09:50:00,6d10019e-3879-44b6-a26b-a6c9da5652a1,2024-08-21 09:50:00.369 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rGumEntranceTemperature,41.1,2024-08-21 09:50:15,ecd3cf4d-ae93-4b0f-8f3c-401dc0588d00,2024-08-21 09:50:15.349 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rGumEntranceTemperature,41.1,2024-08-21 09:50:30,22a562cf-3ee6-42bb-a595-0b39f007d314,2024-08-21 09:50:30.649 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rGumEntranceTemperature,41.1,2024-08-21 09:50:45,128a7c9f-1de7-4d2d-8e50-4b6ecd89db24,2024-08-21 09:50:45.630 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rGumEntranceTemperature,41.0,2024-08-21 09:51:00,7d3aa48c-763a-4da4-81aa-617b9032a0d5,2024-08-21 09:51:00.549 +08:00
,YNG,<not set>,opcua,,CG_Sheeting.CG_Sheeting.dbHMI.Cooling.Variables.rGumEntranceTemperature,40.9,2024-08-21 09:51:15,ee7b1cf7-227b-46cd-9ac2-353a8887adfd,2024-08-21 09:51:15.504 +08:00
