from_id,from_name,from_type,to_id,to_name,to_type,relationship
GumCenterAverageWeight,GumCenterAverageWeight,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
ACYLDamper,ACYLDamper,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
ACYLExhaustDamper,ACYLExhaustDamper,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
Batch,Batch,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
BrixFromMM,BrixFromMM,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
CurrentStep,CurrentStep,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
Cycle,Cycle,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
CYLBucketConveyor,CYLBucketConveyor,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
CYLBypassDamper,CYLBypassDamper,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
CYLCleaningExhaustDamper,CYLCleaningExhaustDamper,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
CYLExhaustDamper,CYLExhaustDamper,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
CYLInletDamper,CYLInletDamper,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
CYLSupplyDamper,CYLSupplyDamper,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
Dewpoint,Dewpoint,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
Diff_Pressure,Diff_Pressure,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
DriamStatus,DriamStatus,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
DrumSpeed,DrumSpeed,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
ExhausFanSpeed,ExhausFanSpeed,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
Feederrate,Feederrate,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
Flowrate,Flowrate,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
Formula,Formula,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
FormulaName,FormulaName,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
GumCenterHopperCAVGate,GumCenterHopperCAVGate,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
GumCenterHopperWeight,GumCenterHopperWeight,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
Loading,Loading,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
MTRBlower,MTRBlower,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
MuntersVFDFanSpeed,MuntersVFDFanSpeed,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
Phase,Phase,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
PhaseTotSyrup,PhaseTotSyrup,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
PowderVDFFeeder,PowderVDFFeeder,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
Sprayrate,Sprayrate,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
StartTime,StartTime,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
Step,Step,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
Temperature,Temperature,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
VFDDrumDrive,VFDDrumDrive,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
VFDExhaustFan,VFDExhaustFan,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
VFDFan,VFDFan,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
VFDMainPump,VFDMainPump,ProcessParameter,ProcessParameter,ProcessParameter,ProcessParameter,BELONGS_TO
Driam,Driam,Machine,Coating Process,Coating Process,CoatingProcess,ENABLES
Management personnel,Management personnel,Man,Driam,Driam,Machine,OPERATES
Production personnel,Production personnel,Man,Driam,Driam,Machine,OPERATES
Quality control personnel,Quality control personnel,Man,Driam,Driam,Machine,OPERATES
Research and development personnel,Research and development personnel,Man,Driam,Driam,Machine,OPERATES
Logistics personnel,Logistics personnel,Man,Driam,Driam,Machine,OPERATES
Smoothness,Smoothness,Quality,Appearance,Appearance,Measurement,CORRELATED
Washedcorner,Washedcorner,Quality,Appearance,Appearance,Measurement,CORRELATED
PreviousSmoothness,PreviousSmoothness,Quality,Smoothness,Smoothness,Quality,CORRELATED
Pause,Pause,ProcessType,Smoothness,Smoothness,Quality,CORRELATED
Drying,Drying,ProcessType,Smoothness,Smoothness,Quality,CORRELATED
DrumSpeed,DrumSpeed,ProcessParameter,Smoothness,Smoothness,Quality,CORRELATED
Temperature,Temperature,ProcessParameter,Smoothness,Smoothness,Quality,CORRELATED
Dewpoint,Dewpoint,ProcessParameter,Smoothness,Smoothness,Quality,CORRELATED
Flowrate,Flowrate,ProcessParameter,Smoothness,Smoothness,Quality,CORRELATED
SyrupConcentration,SyrupConcentration,Quality,Smoothness,Smoothness,Quality,CORRELATED
PreviousWashedcorner,PreviousWashedcorner,Quality,Washedcorner,Washedcorner,Quality,CORRELATED
Pause,Pause,ProcessType,Washedcorner,Washedcorner,Quality,CORRELATED
Drying,Drying,ProcessType,Washedcorner,Washedcorner,Quality,CORRELATED
